Name,Price,Url,Brand,Length (mm),Gauge (ring),Type
Nicaragua,130.0,https://cognachuset.dk/shop/davidoff-nicaragua-short-1515p.html,Davidoff,95,46,Short Corona
Signature No. 2 Tubos,160.0,https://cognachuset.dk/shop/davidoff-signature-no-276p.html,Davidoff,152,38,Panetela
,169.0,https://cognachuset.dk/shop/davidoff-short-perfecto-287p.html,Davidoff,124,52,Short Perfecto
Escurio Gran,197.0,https://cognachuset.dk/shop/davidoff-escurio-gran-1666p.html,Davidoff,140,56,Toro
Nicaragua,219.0,https://cognachuset.dk/shop/davidoff-nicaragua-toro-1516p.html,Davidoff,140,54,Toro
"Winston Churchill ""The Commander""",219.0,https://cognachuset.dk/shop/davidoff-winston-churchill-1669p.html,Davidoff,0,52,Toro
Aniversario No. 3,285.0,https://cognachuset.dk/shop/davidoff-aniversario-275p.html,Davidoff,152,50,Toro
no. 2,120.0,https://cognachuset.dk/shop/diplomaticos-no-2-1926p.html,Diplomaticos,156,52,Torpedo
Don Tomas Dominican Robusto Bundle,47.0,https://cognachuset.dk/shop/don-tomas-dominican-1772p.html,Don Tomas Bundle,0,50,Gran robusto
Don Tomas Dominican  Bundle,52.0,https://cognachuset.dk/shop/don-tomas-dominican-1773p.html,Don Tomas Bundle,0,52,Toro
Lindos,51.0,https://cognachuset.dk/shop/don-tomas-clasico-1100p.html,Don Tomas Clasico,102,40,Petit Corona
robusto humi-pack,85.0,https://cognachuset.dk/shop/don-tomas-clasico-1755p.html,Don Tomas Clasico,140,50,Gran robusto
Don Tomas Colosal,99.0,https://cognachuset.dk/shop/don-tomas-colosal-1672p.html,Don Tomas Clasico,165,54,Double Toro
Don Tomas  Nicaragua Lindos,59.0,https://cognachuset.dk/shop/don-tomas-nicaragua-1673p.html,Don Tomas Nicaragua,102,40,Panatela
Don Tomas  Nicaragua Allegro,88.0,https://cognachuset.dk/shop/don-tomas-nicaragua-1675p.html,Don Tomas Nicaragua,140,50,Gran Robusto
El Rey Del Mundo Choix Supreme,88.0,https://cognachuset.dk/shop/el-rey-del-993p.html,El Rey del Mundo,127,48,Robusto
Nicaragua Short Torpedo,105.0,https://cognachuset.dk/shop/griffins-nicaragua-short-1803p.html,Griffins,102,52,Piramid
no. 300 Tubos,112.0,https://cognachuset.dk/shop/griffins-no-300-292p.html,Griffins,159,44,Grand Corona
Nicaragua,120.0,https://cognachuset.dk/shop/griffins-nicaragua-toro-1805p.html,Griffins,152,50,Toro
Prestige,150.0,https://cognachuset.dk/shop/griffins-prestige-291p.html,Griffins,190,50,Double Corona
Crystalles,29.0,https://cognachuset.dk/shop/guantanamera-crystalles-1770p.html,Guantanamera,149,41,Corona
Epicures,40.0,https://cognachuset.dk/shop/h-upmann-epicures-781p.html,H. Upmann,110,35,Demi-Tasse
Majestic,49.0,https://cognachuset.dk/shop/h-upmann-majestic-782p.html,H. Upmann,140,40,Corona
Magnum 46,114.0,https://cognachuset.dk/shop/h-upmann-magnum-1274p.html,H. Upmann,143,46,Coronas Gordas
robusto Añejados 2016,139.0,https://cognachuset.dk/shop/h-upmann-robusto-1277p.html,H. Upmann,127,50,Robust
Monarch Tubos,167.0,https://cognachuset.dk/shop/h-upmann-monarch-1218p.html,H. Upmann,178,48,Churchill
Palmas Extra,50.0,https://cognachuset.dk/shop/hoyo-de-monterrey-860p.html,Hoyo de Monterrey,140,40,Corona
tions Tubos,66.0,https://cognachuset.dk/shop/hoyo-de-monterrey-861p.html,Hoyo de Monterrey,129,42,Corona
s,94.0,https://cognachuset.dk/shop/hoyo-de-monterrey-1314p.html,Hoyo de Monterrey,102,50,Petit Robusto
Epicure no. 1,119.0,https://cognachuset.dk/shop/hoyo-de-monterrey-367p.html,Hoyo de Monterrey,143,46,Corona Gorda
Epicure Especial,130.0,https://cognachuset.dk/shop/hoyo-de-monterrey-1308p.html,Hoyo de Monterrey,140,50,Robusto extra
Petit Cazadores,19.0,https://cognachuset.dk/shop/jose-l-piedra-991p.html,Jose L. Piedra,105,43,Petit Corona
Cazadores,25.0,https://cognachuset.dk/shop/jose-l-piedra-876p.html,Jose L. Piedra,155,43,Gran Corona
s,34.0,https://cognachuset.dk/shop/la-flor-de-803p.html,La Flor de Cano,123,40,Petit Corona
Cafe Baron De Rothschild,86.0,https://cognachuset.dk/shop/macanudo-cafe-baron-199p.html,Macanudo,165,41,Lonsdale
Inspirado Petit Piramide,90.0,https://cognachuset.dk/shop/macanudo-inspirado-petit-1684p.html,Macanudo,114,52,petit piramides
Cafe,93.0,https://cognachuset.dk/shop/macanudo-cafe-diplomat-1060p.html,Macanudo,115,40,Diplomat
Inspirado White,95.0,https://cognachuset.dk/shop/macanudo-inspirado-white-1838p.html,Macanudo,165,50,Toro
Cafe Hampton Court Tubos,105.0,https://cognachuset.dk/shop/macanudo-cafe-hampton-269p.html,Macanudo,140,42,Corona
Maduro Hampton Court Tubos,106.0,https://cognachuset.dk/shop/macanudo-maduro-hampton-1063p.html,Macanudo,140,42,Corona
Maduro Diplomat,115.0,https://cognachuset.dk/shop/macanudo-maduro-diplomat-198p.html,Macanudo,115,40,Perfecto
Inspirado Gordito Black,130.0,https://cognachuset.dk/shop/macanudo-inspirado-gordito-1682p.html,Macanudo,114,52,Nub
Maduro,135.0,https://cognachuset.dk/shop/macanudo-maduro-gigante-1689p.html,Macanudo,152,60,Gigante
Inspirado Canonazo Black,143.0,https://cognachuset.dk/shop/macanudo-inspirado-canonazo-1688p.html,Macanudo,140,50,Robusto
Picador,25.0,https://cognachuset.dk/shop/madrigal-picador-butt-1869p.html,Madrigal,77,52,Butt
Picador,28.0,https://cognachuset.dk/shop/madrigal-picador-robusto-1871p.html,Madrigal,114,50,Robusto
Matador,34.0,https://cognachuset.dk/shop/madrigal-matador-robusto-1876p.html,Madrigal,114,50,Robusto
Matador Churchill,48.0,https://cognachuset.dk/shop/madrigal-matador-churchill-1878p.html,Madrigal,153,50,Corona Grande
Joyitas,64.0,https://cognachuset.dk/shop/montecristo-joyitas-1317p.html,Montecristo,115,26,Laguito
mini 10 stk.,79.0,https://cognachuset.dk/shop/montecristo-mini-10-417p.html,Montecristo,83,18,Mini
No. 4,86.0,https://cognachuset.dk/shop/montecristo-no-4-205p.html,Montecristo,129,42,Petit Corona
Petit Edmundo,108.0,https://cognachuset.dk/shop/montecristo-petit-edmundo-867p.html,Montecristo,110,52,Robusto
Petit no. 2,114.0,https://cognachuset.dk/shop/montecristo-petit-no-1318p.html,Montecristo,120,52,Petit Pyramide
Edmundo,132.0,https://cognachuset.dk/shop/montecristo-edmundo-203p.html,Montecristo,135,52,Gran Robusto
No. 2,149.0,https://cognachuset.dk/shop/montecristo-no-2-204p.html,Montecristo,156,52,Torpedo
Linea 1935 Dumas,186.0,https://cognachuset.dk/shop/montecristo-linea-1935-1889p.html,Montecristo,130,49,Corona Extra
Linea 1935 Leyenda,260.0,https://cognachuset.dk/shop/montecristo-linea-1935-1887p.html,Montecristo,165,55,Double Robusto
Junior,68.0,https://cognachuset.dk/shop/montecristo-open-junior-916p.html,Montecristo OPEN,110,38,Trabuco
Master,118.0,https://cognachuset.dk/shop/montecristo-open-master-917p.html,Montecristo OPEN,124,50,Robusto
Eagle Tubos,179.0,https://cognachuset.dk/shop/montecristo-open-eagle-1358p.html,Montecristo OPEN,150,54,Geniales
,125.0,https://cognachuset.dk/shop/noerding-toro-grande-1082p.html,Nørding,152,58,Toro Grande
Habanero,44.0,https://cognachuset.dk/shop/partagas-habanero-1280p.html,Partagas,125,39,Belvedere
Super,50.0,https://cognachuset.dk/shop/partagas-super-partagas-1285p.html,Partagas,140,40,Cremas
Coronas Junior Tubos,62.0,https://cognachuset.dk/shop/partagas-coronas-junior-865p.html,Partagas,117,40,Petit Corona
Shorts,67.0,https://cognachuset.dk/shop/partagas-shorts-1284p.html,Partagas,110,42,Minutos
De Luxe Tubos,74.0,https://cognachuset.dk/shop/partagas-de-luxe-201p.html,Partagas,140,40,Corona
Serie D No. 5 cigar,100.0,https://cognachuset.dk/shop/partagas-serie-d-1282p.html,Partagas,110,50,Short Robusto
Serie P No. 2 cigar,134.0,https://cognachuset.dk/shop/partagas-serie-p-801p.html,Partagas,156,52,Pyramide
Serie D no. 4 Tubos,138.0,https://cognachuset.dk/shop/partagas-serie-d-1922p.html,Partagas,124,50,Robusto
Lusitanias,184.0,https://cognachuset.dk/shop/partagas-lusitanias-1281p.html,Partagas,194,49,Prominetes
No. 2,62.0,https://cognachuset.dk/shop/private-stock-medium-653p.html,Private Stock Medium Filler,156,46,Gran Corona
tions,60.0,https://cognachuset.dk/shop/punch-petit-coronations-359p.html,Punch,117,40,Petit Corona
,126.0,https://cognachuset.dk/shop/punch-punch-513p.html,Punch,143,46,Corona
Double Corona,169.0,https://cognachuset.dk/shop/punch-double-corona-514p.html,Punch,194,49,Prominente
Quintero Petit Quintero,22.0,https://cognachuset.dk/shop/quintero-petit-quintero-1929p.html,Quinteros,105,43,Petit Cazadores
Quintero Tubulares A/T,38.0,https://cognachuset.dk/shop/quintero-tubulares-a-1927p.html,Quinteros,133,42,Petit Corona
s,47.0,https://cognachuset.dk/shop/rafael-gonzalez-perlas-1343p.html,Rafael Gonzalez,102,40,Perla
Small Club Corona,60.0,https://cognachuset.dk/shop/ramon-allones-small-1931p.html,Ramon Allones,110,42,Minutos
,42.0,https://cognachuset.dk/shop/romeo-y-julieta-1764p.html,Romeo Y Julieta,125,39,Belvedere
Mille Fleurs,53.0,https://cognachuset.dk/shop/romeo-y-julieta-537p.html,Romeo Y Julieta,129,42,Petite Corona
Romeo no. 2 cigar Tubos,65.0,https://cognachuset.dk/shop/romeo-y-julieta-200p.html,Romeo Y Julieta,129,42,Petit Corona
Petit Royales,74.0,https://cognachuset.dk/shop/romeo-y-julieta-1916p.html,Romeo Y Julieta,95,47,Petit Robusto
s,79.0,https://cognachuset.dk/shop/romeo-y-julieta-1332p.html,Romeo Y Julieta,129,42,Petit Corona
,95.0,https://cognachuset.dk/shop/romeo-y-julieta-1923p.html,Romeo Y Julieta,102,50,Petit Churchill
